user_id,risk_score
U974,0.548051
U919,0.548054
U461,0.548054
U648,0.548051
U144,0.548051
U918,0.548054
U805,0.54805
U137,0.548052
U705,0.548054
U309,0.548054
U988,0.548052
U62,0.548054
U196,0.548053
U89,0.548055
U142,0.548052
U667,0.548053
U343,0.548053
U79,0.548052
U466,0.548052
U432,0.548052
U625,0.548054
U857,0.548051
U455,0.548054
U481,0.54805
U480,0.548053
U619,0.548054
U923,0.548054
U331,0.548056
U883,0.548053
U672,0.548053
U818,0.548052
U615,0.548052
U488,0.548052
U801,0.548055
U198,0.548057
U720,0.548051
U621,0.548054
U819,0.548051
U476,0.548056
U276,0.548054
U748,0.548055
U275,0.548053
U68,0.548053
U545,0.548054
U285,0.548052
U657,0.548053
U327,0.548053
U991,0.548058
U584,0.548051
U487,0.548055
U291,0.548052
U908,0.548053
U848,0.548053
U796,0.548055
U485,0.548053
U11,0.548054
U418,0.548051
U873,0.548052
U721,0.548051
U716,0.548054
U126,0.548051
U41,0.548055
U390,0.548051
U714,0.548055
U943,0.548055
U900,0.548054
U704,0.548052
U936,0.548053
U753,0.548051
U659,0.548051
U760,0.548051
U98,0.548056
U209,0.548053
U132,0.548052
U140,0.548051
U500,0.548053
U864,0.548051
U199,0.548053
U757,0.548052
U751,0.54805
U99,0.548052
U225,0.548054
U4,0.548054
U995,0.548051
U920,0.548053
U87,0.548052
U338,0.548052
U827,0.548051
U928,0.548055
U221,0.548054
U850,0.548052
U896,0.548055
U365,0.548053
U529,0.548054
U302,0.548054
U950,0.548054
U685,0.548051
U10,0.548054
U1,0.548051
U853,0.548053
U447,0.548055
U446,0.548049
U767,0.548052
U502,0.548054
U121,0.548055
U782,0.548053
U450,0.548053
U877,0.548052
U912,0.548054
U761,0.548056
U490,0.548053
U321,0.548053
U91,0.548053
U373,0.548052
U482,0.548053
U172,0.54805
U322,0.548051
U345,0.548053
U358,0.548053
U107,0.548056
U29,0.548053
U554,0.548055
U856,0.548052
U156,0.548053
U388,0.548052
U104,0.548054
U980,0.548054
U763,0.548051
U105,0.548053
U7,0.548054
U328,0.548056
U357,0.548052
U333,0.548053
U379,0.548054
U680,0.548052
U620,0.548052
U200,0.548052
U909,0.548053
U565,0.548052
U262,0.548053
U601,0.548055
U214,0.548054
U131,0.548056
U229,0.548054
U709,0.548053
U956,0.548053
U579,0.548051
U12,0.548054
U961,0.548053
U683,0.548055
U926,0.548054
U662,0.548051
U425,0.548054
U976,0.548053
U421,0.548053
U986,0.548056
U612,0.548052
U356,0.548053
U324,0.548054
U412,0.548054
U564,0.548051
U617,0.548053
U404,0.548054
U651,0.548052
U317,0.548053
U207,0.548052
U274,0.548053
U786,0.548052
U94,0.548051
U92,0.548053
U247,0.548053
U788,0.548054
U670,0.548052
U399,0.548053
U978,0.548052
U416,0.548051
U310,0.548052
U336,0.548052
U962,0.548052
U441,0.548054
U987,0.548053
U14,0.548051
U433,0.548053
U246,0.548051
U97,0.548054
U234,0.548054
U722,0.548051
U366,0.548052
U8,0.548051
U775,0.54805
U279,0.548054
U504,0.548056
U982,0.548052
U389,0.548053
U45,0.548055
U320,0.548054
U800,0.548053
U185,0.548053
U261,0.548051
U371,0.548052
U253,0.548054
U964,0.548057
U945,0.548055
U115,0.548051
U770,0.548053
U789,0.548053
U639,0.548052
U477,0.548051
U880,0.548051
U428,0.548051
U362,0.548055
U849,0.548052
U319,0.548053
U536,0.548052
U693,0.548053
U33,0.548055
U999,0.548052
U499,0.548054
U647,0.548054
U539,0.548052
U456,0.548054
U653,0.548052
U306,0.548051
U13,0.548054
U49,0.548054
U260,0.54805
U305,0.548053
U524,0.54805
U743,0.548055
U952,0.548053
U111,0.548052
U823,0.548055
U958,0.548053
U618,0.548052
U626,0.548052
U168,0.548053
U406,0.548053
U822,0.548053
U979,0.548055
U16,0.54805
U368,0.548053
U47,0.548052
U153,0.548053
U561,0.548054
U350,0.548052
U678,0.548054
U838,0.548054
U273,0.548055
U752,0.548051
U116,0.548052
U837,0.548053
U445,0.548053
U191,0.548054
U251,0.548051
U119,0.548053
U101,0.548052
U706,0.548055
U266,0.548054
U135,0.548052
U745,0.548054
U110,0.548054
U954,0.548053
U287,0.548055
U444,0.548051
U591,0.548052
U969,0.548053
U277,0.548053
U847,0.548056
U206,0.548051
U563,0.548055
U807,0.548055
U715,0.548054
U286,0.548054
U386,0.54805
U571,0.548052
U863,0.548055
U702,0.548055
U939,0.548053
U588,0.548052
U960,0.548053
U544,0.548052
U804,0.548053
U184,0.548052
U942,0.548058
U897,0.548055
U583,0.548054
U195,0.548053
U419,0.548051
U692,0.548052
U420,0.548054
U353,0.548055
U809,0.548052
U515,0.548054
U695,0.548054
U540,0.548052
U496,0.548054
U165,0.54805
U75,0.548055
U932,0.548052
U747,0.548053
U803,0.548052
U211,0.548055
U400,0.548052
U205,0.548053
U971,0.548053
U267,0.548053
U997,0.548053
U255,0.548053
U975,0.548055
U792,0.548051
U339,0.54805
U458,0.548054
U691,0.548053
U188,0.548057
U437,0.548054
U595,0.548053
U464,0.548053
U397,0.548053
U224,0.548051
U671,0.548053
U689,0.548052
U937,0.548053
U147,0.548056
U886,0.548051
U393,0.548052
U711,0.548054
U548,0.548052
U899,0.548052
U551,0.548057
U994,0.548053
U508,0.548053
U557,0.548053
U133,0.548052
U562,0.548052
U170,0.548052
U213,0.548057
U483,0.548053
U34,0.548055
U609,0.548053
U970,0.548052
U555,0.548053
U844,0.548052
U427,0.548052
U668,0.548053
U915,0.548054
U410,0.548054
U839,0.548052
U453,0.548052
U700,0.548051
U50,0.548051
U813,0.548054
U413,0.548053
U904,0.548052
U186,0.548052
U533,0.548054
U787,0.548049
U20,0.548052
U280,0.548052
U268,0.54805
U892,0.548054
U281,0.548053
U865,0.548053
U646,0.548054
U879,0.548054
U230,0.548055
U174,0.548053
U893,0.548053
U109,0.548055
U114,0.54805
U940,0.548052
U334,0.548052
U470,0.548055
U361,0.548052
U906,0.548056
U729,0.548053
U363,0.548052
U870,0.548054
U523,0.548053
U778,0.548053
U240,0.548057
U927,0.548054
U227,0.548053
U717,0.548054
U603,0.54805
U17,0.548052
U372,0.548054
U318,0.548051
U451,0.548056
U381,0.548052
U435,0.548053
U517,0.548052
U5,0.548049
U669,0.548053
U802,0.548054
U858,0.548052
U469,0.548053
U973,0.548052
U828,0.548053
U580,0.548052
U127,0.548055
U169,0.54805
U723,0.548054
U438,0.548055
U383,0.548054
U846,0.548053
U514,0.548053
U944,0.548049
U202,0.548051
U538,0.548053
U48,0.548052
U197,0.548055
U968,0.548054
U284,0.548054
U645,0.548053
U758,0.548052
U468,0.548053
U2,0.548052
U650,0.548054
U272,0.548052
U146,0.548053
U679,0.548054
U590,0.548055
U930,0.548054
U511,0.548055
U738,0.548053
U843,0.548053
U403,0.548052
U436,0.548052
U78,0.548052
U15,0.54805
U854,0.548054
U613,0.548052
U783,0.548055
U443,0.548054
U201,0.548053
U312,0.548051
U963,0.548052
U81,0.548053
U622,0.548054
U299,0.548052
U890,0.548055
U990,0.548053
U660,0.548053
U824,0.548056
U325,0.548054
U881,0.548051
U440,0.548054
U269,0.548054
U323,0.548054
U72,0.548052
U66,0.548054
U152,0.548051
U282,0.548052
U155,0.548052
U528,0.548053
U972,0.548053
U6,0.548053
U472,0.548051
U887,0.548056
U735,0.548055
U270,0.548051
U1000,0.548057
U741,0.548052
U391,0.548053
U340,0.548052
U369,0.548056
U303,0.548052
U190,0.548054
U576,0.548053
U522,0.548055
U666,0.548053
U43,0.548055
U577,0.548053
U985,0.548053
U300,0.548052
U989,0.548053
U239,0.548052
U308,0.548055
U790,0.548051
U607,0.548052
U916,0.548052
U566,0.548054
U610,0.548054
U866,0.548053
U26,0.548052
U921,0.548057
U55,0.54805
U149,0.548055
U874,0.548053
U18,0.548052
U117,0.548054
U781,0.548053
U360,0.548055
U895,0.548054
U176,0.548056
U501,0.548052
U624,0.548052
U556,0.548051
U600,0.548053
U917,0.548052
U179,0.548055
U344,0.548056
U193,0.548056
U993,0.548053
U32,0.548052
U784,0.548055
U187,0.548055
U935,0.548051
U698,0.548055
U644,0.548053
U859,0.548055
U981,0.548052
U143,0.548052
U840,0.548053
U810,0.548055
U587,0.548054
U780,0.548052
U785,0.548052
U984,0.548055
U337,0.548052
U61,0.548053
U342,0.548052
U599,0.548052
U518,0.548053
U364,0.54805
U913,0.548053
U759,0.54805
U756,0.548052
U377,0.548055
U439,0.548052
U84,0.548053
U977,0.548049
U160,0.548054
U934,0.548053
U643,0.548052
U301,0.548052
U56,0.548054
U746,0.548053
U471,0.548051
U902,0.54805
U462,0.548054
U250,0.548055
U245,0.548052
U713,0.548052
U265,0.548052
U159,0.548053
U549,0.548054
U703,0.548052
U51,0.548053
U367,0.548054
U292,0.548053
U384,0.548054
U467,0.548055
U614,0.548052
U636,0.548056
U740,0.548055
U9,0.548053
U808,0.548054
U178,0.548053
U346,0.548054
U655,0.548055
U167,0.548054
U297,0.548051
U608,0.548053
U656,0.548056
U54,0.548054
U642,0.548053
U910,0.548055
U288,0.548052
U163,0.548054
U542,0.548055
U901,0.548053
U341,0.548056
U489,0.548052
U19,0.548055
U831,0.548052
U414,0.548055
U637,0.548052
U36,0.548054
U171,0.548054
U611,0.548054
U537,0.548051
U602,0.548052
U296,0.54805
U867,0.548053
U814,0.548052
U922,0.548052
U730,0.548056
U878,0.548055
U947,0.548052
U604,0.548052
U862,0.548052
U525,0.548056
U836,0.548053
U417,0.548052
U424,0.548052
U861,0.548053
U370,0.548052
U541,0.548054
U516,0.548051
U329,0.548054
U889,0.548053
U448,0.548054
U60,0.548057
U654,0.548052
U772,0.548054
U641,0.548053
U750,0.548054
U534,0.548053
U567,0.548051
U226,0.548055
U794,0.54805
U719,0.548053
U70,0.548055
U779,0.548051
U766,0.548053
U924,0.548053
U218,0.548054
U59,0.548055
U820,0.548055
U493,0.548055
U150,0.548051
U354,0.548052
U675,0.548056
U797,0.548052
U164,0.548055
U811,0.548055
U39,0.548052
U628,0.548054
U465,0.548054
U37,0.548052
U474,0.548052
U736,0.548053
U806,0.548052
U697,0.548052
U547,0.548051
U938,0.548054
U799,0.548055
U744,0.548052
U677,0.548054
U632,0.548053
U686,0.548051
U546,0.548052
U635,0.548053
U42,0.548054
U983,0.548055
U631,0.548052
U941,0.548053
U769,0.548054
U77,0.548057
U724,0.548055
U682,0.548051
U222,0.548055
U771,0.548056
U106,0.548049
U665,0.548053
U605,0.548053
U949,0.548051
U248,0.548053
U575,0.548052
U405,0.548052
U495,0.548055
U842,0.548055
U88,0.548054
U237,0.548054
U24,0.548053
U552,0.548056
U699,0.548054
U257,0.548052
U509,0.548054
U951,0.548053
U96,0.548053
U475,0.548055
U585,0.548054
U449,0.548054
U69,0.548054
U875,0.548053
U925,0.548052
U177,0.548054
U151,0.548053
U85,0.548054
U271,0.548054
U258,0.548053
U215,0.548053
U733,0.548052
U841,0.548052
U933,0.548055
U494,0.548054
U145,0.548052
U582,0.548054
U798,0.548052
U236,0.548052
U640,0.548053
U82,0.548052
U86,0.548054
U231,0.548052
U505,0.548051
U543,0.548056
U58,0.548055
U894,0.548051
U661,0.548053
U851,0.548054
U426,0.548056
U606,0.548055
U136,0.548057
U3,0.548057
U484,0.548051
U535,0.548054
U83,0.548053
U765,0.548052
U732,0.548054
U957,0.548055
U235,0.548051
U463,0.548051
U570,0.548051
U352,0.548051
U616,0.548056
U38,0.548053
U589,0.548056
U791,0.548052
U387,0.548052
U776,0.54805
U526,0.548053
U298,0.548053
U409,0.548052
U181,0.54805
U408,0.548052
U586,0.548054
U429,0.548054
U664,0.548055
U208,0.548053
U394,0.548054
U217,0.548053
U506,0.548054
U123,0.548052
U154,0.548052
U112,0.548051
U332,0.548055
U382,0.548052
U498,0.548052
U204,0.54805
U497,0.548055
U259,0.548055
U478,0.548053
U510,0.548052
U430,0.548052
U380,0.548054
U658,0.548052
U876,0.548053
U232,0.548052
U254,0.548053
U903,0.548051
U392,0.548053
U825,0.548053
U460,0.54805
U311,0.548054
U731,0.548051
U30,0.548057
U492,0.548054
U313,0.548055
U314,0.54805
U948,0.548052
U777,0.54805
U739,0.548052
U592,0.548055
U216,0.548054
U118,0.548053
U553,0.548055
U73,0.548053
U349,0.548051
U183,0.548051
U965,0.548054
U129,0.54805
U378,0.548052
U307,0.548053
U764,0.548052
U479,0.548053
U953,0.548054
U573,0.548055
U351,0.548054
U63,0.548053
U124,0.548057
U728,0.54805
U708,0.548055
U998,0.548052
U885,0.548053
U519,0.548051
U833,0.548055
U290,0.548052
U210,0.548053
U687,0.548053
U264,0.548052
U263,0.548053
U375,0.548053
U138,0.548054
U629,0.548053
U316,0.548051
U696,0.548052
U817,0.548051
U35,0.548054
U527,0.548053
U663,0.548052
U434,0.548053
U242,0.548055
U93,0.548053
U457,0.548053
U503,0.548058
U395,0.548057
U102,0.548051
U829,0.548054
U520,0.548052
U597,0.548052
U228,0.548054
U649,0.548054
U113,0.548052
U992,0.548054
U173,0.548051
U57,0.548056
U330,0.548053
U681,0.548052
U871,0.54805
U627,0.548054
U74,0.548053
U821,0.548056
U512,0.548052
U407,0.548053
U148,0.548053
U727,0.548053
U701,0.548056
U347,0.548053
U162,0.548049
U166,0.548053
U459,0.548052
U401,0.548056
U718,0.548052
U737,0.548052
U558,0.548054
U46,0.548054
U52,0.548054
U442,0.548054
U726,0.548053
U676,0.548057
U868,0.548053
U734,0.548053
U175,0.54805
U40,0.548051
U513,0.548053
U25,0.548053
U139,0.548055
U244,0.548054
U65,0.548053
U768,0.548055
U22,0.548055
U396,0.548054
