user_id,risk_score
U128,0.548053
U28,0.548054
U707,0.548053
U596,0.548053
U594,0.548052
U630,0.548053
U907,0.548053
U812,0.548054
U90,0.548052
U141,0.548052
U578,0.548052
U574,0.548054
U652,0.548054
U294,0.548054
U452,0.548054
U826,0.548054
U130,0.548051
U95,0.548051
U568,0.548055
U283,0.548051
U335,0.548052
U888,0.548053
U638,0.548052
U550,0.548056
U348,0.548054
U773,0.548055
U252,0.548053
U860,0.548053
U872,0.548051
U203,0.548053
U385,0.548053
U710,0.548055
U31,0.548052
U180,0.548052
U249,0.548052
U64,0.548055
U415,0.548054
U243,0.548052
U212,0.548055
U402,0.548055
U376,0.548054
U762,0.548054
U293,0.548057
U44,0.548052
U507,0.548056
U946,0.548052
U100,0.548053
U569,0.548052
U855,0.548053
U905,0.548055
U931,0.548052
U830,0.548051
U158,0.548053
U278,0.548055
U256,0.548054
U220,0.548051
U572,0.548052
U688,0.548053
U674,0.548053
U374,0.548055
U816,0.548052
U712,0.548054
U304,0.548056
U473,0.548053
U623,0.548054
U219,0.548052
U23,0.548053
U690,0.548056
U793,0.548052
U996,0.548053
U108,0.548052
U633,0.548051
U891,0.548053
U852,0.548052
U530,0.548056
U80,0.548055
U742,0.548053
U182,0.548052
U71,0.548054
U593,0.548055
U289,0.548055
U238,0.548051
U911,0.548051
U241,0.548052
U959,0.548055
U233,0.548051
U194,0.548053
U192,0.548053
U134,0.548052
U966,0.548049
U673,0.548053
U67,0.548051
U754,0.548053
U53,0.548055
U694,0.548051
U359,0.548054
U795,0.548054
U125,0.548056
U161,0.548052
U884,0.548053
U869,0.548054
U422,0.548052
U326,0.548055
U598,0.548053
U431,0.548054
U454,0.548053
U774,0.548053
U531,0.548052
U815,0.548053
U120,0.548053
U355,0.548051
U882,0.548054
U532,0.548054
U486,0.548051
U725,0.548054
U103,0.548053
U560,0.548054
U898,0.548054
U755,0.54805
U423,0.54805
U749,0.548052
U967,0.548054
U914,0.548052
U157,0.548054
U955,0.548049
U315,0.54805
U295,0.548055
U845,0.548054
U76,0.548052
U634,0.548054
U27,0.548052
U832,0.548055
U581,0.548053
U834,0.548052
U398,0.548053
U189,0.548053
U411,0.548053
U521,0.548054
U929,0.548055
U835,0.548057
U122,0.548054
U223,0.548054
U491,0.548053
U559,0.548054
U684,0.548056
U21,0.548053
